20101104,aawiki,aawiki/20101104,
20101105,aawikibooks,aawikibooks/20101105,
20110112,aawiktionary,aawiktionary/20110112,
20100813,abwiki,abwiki/20100813,
20100813,abwiktionary,abwiktionary/20100813,
20101105,acewiki,acewiki/20101105,
20100813,advisorywiki,advisorywiki/20100813,
20101104,afwiki,afwiki/20101104,
20101104,afwikibooks,afwikibooks/20101104,
20101106,afwikiquote,afwikiquote/20101106,
20101109,afwiktionary,afwiktionary/20101109,
20110110,akwiki,akwiki/20110110,
20101109,akwikibooks,akwikibooks/20101109,
20110110,akwiktionary,akwiktionary/20110110,
20100813,alswiki,alswiki/20100813,
20101109,alswikibooks,alswikibooks/20101109,
20101104,alswikiquote,alswikiquote/20101104,
20101104,alswiktionary,alswiktionary/20101104,
20101104,amwiki,amwiki/20101104,
20101104,amwikiquote,amwikiquote/20101104,
20101104,amwiktionary,amwiktionary/20101104,
20110111,angwiki,angwiki/20110111,
20110110,angwikibooks,angwikibooks/20110110,
20110111,angwikiquote,angwikiquote/20110111,
20101105,angwikisource,angwikisource/20101105,
20110111,angwiktionary,angwiktionary/20110111,
20110111,anwiki,anwiki/20110111,
20110111,anwiktionary,anwiktionary/20110111,
20110111,arcwiki,arcwiki/20110111,
20100816,arwiki,arwiki/20100816,
20101105,arwikibooks,arwikibooks/20101105,
20110111,arwikinews,arwikinews/20110111,
20101107,arwikiquote,arwikiquote/20101107,
20110110,arwikisource,arwikisource/20110110,
20101107,arwiktionary,arwiktionary/20101107,
20101105,arzwiki,arzwiki/20101105,
20110111,astwiki,astwiki/20110111,
20101105,astwikibooks,astwikibooks/20101105,
20110111,astwikiquote,astwikiquote/20110111,
20110111,astwiktionary,astwiktionary/20110111,
20110111,aswiki,aswiki/20110111,
20110111,aswikibooks,aswikibooks/20110111,
20101109,aswiktionary,aswiktionary/20101109,
20101109,avwiki,avwiki/20101109,
20101108,avwiktionary,avwiktionary/20101108,
20101109,aywiki,aywiki/20101109,
20101108,aywikibooks,aywikibooks/20101108,
20101109,aywiktionary,aywiktionary/20101109,
20110110,azwiki,azwiki/20110110,
20101109,azwikibooks,azwikibooks/20101109,
20101108,azwikiquote,azwikiquote/20101108,
20101109,azwikisource,azwikisource/20101109,
20101108,azwiktionary,azwiktionary/20101108,
20101107,barwiki,barwiki/20101107,
20101108,bat_smgwiki,bat_smgwiki/20101108,
20101108,bawiki,bawiki/20101108,
20101108,bawikibooks,bawikibooks/20101108,
20110111,bclwiki,bclwiki/20110111,
